start
1031058,50.20,6354.00,5183.00,8011.00,6605.00,142.00,6522.00,7736.00,5727.00,50.50,50.63,50.50,95.56,3.51,3.51,3.51,0.77,5.53
1041056,50.40,6322.00,5126.00,7940.00,6634.00,74.00,6474.00,7699.00,5652.00,50.90,51.05,50.92,95.89,3.46,3.44,3.46,0.77,5.53
1051058,50.60,6298.00,5062.00,7965.00,6602.00,60.00,6441.00,7635.00,5532.00,51.05,51.25,51.16,95.89,3.58,3.43,3.43,0.76,5.51
1061058,50.80,6279.00,5034.00,7890.00,6524.00,76.00,6394.00,7638.00,5483.00,51.41,50.90,51.43,95.64,3.41,3.46,3.40,0.77,5.48
1071060,51.00,6298.00,5015.00,7919.00,6557.00,37.00,6298.00,7532.00,5359.00,51.05,51.45,52.32,95.56,3.44,3.39,3.34,0.77,5.46
1081068,51.20,6276.00,5071.00,7897.00,6547.00,119.00,6336.00,7459.00,5255.00,51.68,51.59,51.64,95.48,3.38,3.38,3.37,0.76,5.45
1091070,51.40,6259.00,5069.00,7952.00,6635.00,91.00,6230.00,7435.00,5230.00,51.68,51.84,51.88,96.47,3.37,3.34,3.35,0.76,5.42
1101070,51.60,6150.00,4940.00,7937.00,6595.00,80.00,6225.00,7377.00,5223.00,52.32,51.64,51.41,96.22,3.29,3.37,3.40,0.76,5.40
1111070,51.80,6040.00,4855.00,7894.00,6560.00,85.00,6155.00,7321.00,5101.00,52.32,52.39,52.71,95.89,3.29,3.26,3.23,0.77,5.36
1121072,52.00,6014.00,4759.00,7867.00,6516.00,34.00,6012.00,7178.00,4948.00,52.32,52.32,52.67,95.73,3.29,3.29,3.24,0.76,5.35
1131072,52.20,6075.00,4795.00,7877.00,6526.00,77.00,6001.00,7147.00,4949.00,52.67,52.67,52.76,96.22,3.26,3.24,3.22,0.76,5.31
1141076,52.40,6017.00,4834.00,7904.00,6549.00,98.00,5975.00,7102.00,5005.00,52.32,53.25,61.80,96.14,3.29,3.17,2.62,0.76,5.30
1151073,52.60,5815.00,4687.00,7883.00,6551.00,86.00,5921.00,7036.00,4884.00,52.67,53.30,53.18,95.48,3.24,3.16,3.18,0.77,5.29
1161074,52.80,5761.00,4559.00,7786.00,6451.00,49.00,5773.00,6848.00,4758.00,53.42,53.42,53.77,95.97,3.16,3.15,3.11,0.76,5.27
1171076,53.00,5742.00,4612.00,7843.00,6502.00,62.00,5747.00,6740.00,4731.00,53.09,52.99,53.11,95.97,3.19,3.21,3.18,0.76,5.24
1181076,53.20,5657.00,4620.00,7876.00,6520.00,86.00,5711.00,6751.00,4704.00,53.58,53.70,53.46,95.73,3.15,3.12,3.15,0.76,5.22
1191078,53.40,5501.00,4549.00,7843.00,6483.00,101.00,5687.00,6665.00,4680.00,54.03,54.15,54.18,95.73,3.10,3.07,3.07,0.76,5.18
1201073,53.60,5371.00,4389.00,7802.00,6491.00,96.00,5629.00,6607.00,4691.00,53.63,54.30,53.53,96.05,3.12,3.06,2.27,0.76,5.16
1211074,53.80,5383.00,4418.00,7857.00,6390.00,38.00,5510.00,6405.00,4540.00,53.75,53.82,54.15,95.81,3.12,3.10,3.07,0.76,5.16
1221075,54.00,5304.00,4451.00,7815.00,6459.00,76.00,5420.00,6341.00,4406.00,54.01,54.40,54.18,95.73,3.07,3.04,2.99,0.76,5.12
